,index,year,month,day,publishedAt,headline,summary,source,API
70,39,2025,1,8,2025-01-08 23:45:46,"NIO Stock May Have Reached a Turning Point, but Risks Remain","NIO (NIO) stock has lost almost half of its value over the past 12 months and remains quite volatile. The business remains loss-making, and its path to profitability isn’t clear, given the company’s fairly unstable trajectory and investment in new business units. Personally, I’m bearish on NIO stock. The sector is increasingly competitive and the smart money already appears to have moved to automation. I’m also uncertain about the future of battery-swapping technology. Let’s Start with NIO’s Pos",Yahoo,finnhub_news
71,40,2025,1,8,2025-01-08 23:37:37,Judge approves Tesla directors’ deal to end excess pay case,"Tesla directors, including Chair Robyn Denholm and James Murdoch, got court approval on Wednesday for a settlement worth up to $919 million that requires they return compensation to the carmaker to resolve allegations they overpaid themselves.",Yahoo,finnhub_news
72,41,2025,1,8,2025-01-08 22:31:00,"These Stocks Moved the Most Today: Nvidia, AMD, Palantir, IonQ, Moderna, Vir, Edison International, Constellation Energy, and More","Nvidia shares are flat after falling sharply in the previous session, Palantir stock extends declines, and quantum-computing stocks sink following comments from Nvidia’s CEO.",Yahoo,finnhub_news
73,42,2025,1,8,2025-01-08 21:37:17,Why One Analyst Believes that Tesla (TSLA) Stock Is “Really Expensive”,"Calling the recent decline by Tesla (TSLA) stock “overdue,” Nixon Peabody analyst Daniel Kern said on Schwab TV today that the shares have an “‘I want to believe’ kind of valuation.” He indicated that he is not yet bullish on the shares. TSLA is “really expensive for a car company,” while the value of the […]",Yahoo,finnhub_news
74,43,2025,1,8,2025-01-08 21:12:55,Judge approves Tesla directors' deal to end excess pay case,"Tesla directors including Chair Robyn Denholm and James Murdoch got court approval on Wednesday for a settlement worth up to $919 million that requires they return compensation to the carmaker to resolve allegations they overpaid themselves.  The settlement requires Tesla board members including Denholm and Murdoch to return roughly $277 million in cash, $459 million in stock options and to forgo stock options for 2021-23 worth $184 million.",Yahoo,finnhub_news
75,44,2025,1,8,2025-01-08 20:56:56,US launches probe over Tesla remote driving feature in 2.6m cars,The investigation covers a range of Tesla models equipped with the optional Full Self-Driving driver assistance system.,Yahoo,finnhub_news
76,45,2025,1,8,2025-01-08 20:22:04,UK Tories Fail in Bid to Force Starmer to Hold Rape Gang Probe,(Bloomberg) -- The UK’s opposition Conservative Party tried and failed to force Prime Minister Keir Starmer into holding a national inquiry into a scandal surrounding so-called child grooming gangs.Most Read from BloombergNYC Condo Owners May Bear Costs of Landmark Green Building LawNYC’s Subway Violence Deters Drive to Bring Workers Back to OfficeDutch Central Bank Restores Amsterdam’s ‘Ugliest Building’Can American Drivers Learn to Love Roundabouts?Can States Hit the Brakes on Runaway Roadbuil,Yahoo,finnhub_news
77,46,2025,1,8,2025-01-08 19:56:00,Nvidia Follow’s Tesla on Autonomous Vehicles as Jensen Huang Echoes Elon Musk,The Nvidia CEO’s keynote speech at the CES trade show included some interesting tidbits for Tesla investors.,Yahoo,finnhub_news
78,47,2025,1,8,2025-01-08 19:20:52,Tesla in Turmoil: JPMorgan Cuts EPS Outlook by 36% Amid Mounting Challenges,JPMorgan warns of Tesla headwinds as 2024 EPS projections and EBIT estimates sharply decline.,Yahoo,finnhub_news
79,48,2025,1,8,2025-01-08 19:20:43,"Evercore ISI Raises Tesla (TSLA) Price Target, Cites Trump Presidency Benefits","We recently published a list of Top 10 AI Stocks on Wall Street’s Radar. In this article, we are going to take a look at where Tesla, Inc. (NASDAQ:TSLA) stands against other AI stocks on Wall Street’s Radar. As reported by Reuters, Wall Street’s main indexes rose on Monday to more than one-week highs, driven […]",Yahoo,finnhub_news
80,49,2025,1,8,2025-01-08 19:08:00,8 Tech Stocks for Another AI-Driven Year,"Just a few trading days in, and it already looks like another tech-driven year, with artificial intelligence once again at the forefront.  New Street Research has eight tech picks to start 2025.  As of Tuesday’s close the S&P 500 was up 0.5% since the start of the year, while the Nasdaq Composite has climbed 0.9%.",Yahoo,finnhub_news
81,51,2025,1,8,2025-01-08 18:34:59,Nvidia could become the 'platform for robotics': Analyst,"Nvidia (NVDA) CEO Jensen Huang unveiled the company's latest product innovations at the 2025 Consumer Electronics Show (CES), including self-driving cars and humanoid robots. Bob O'Donnell, president and chief analyst of TECHnalysis Research, LLC, joins Catalysts to discuss this development. O'Donnell characterizes Nvidia's entry into robotics as ""a long-term play,"" noting that ""it won't happen overnight."" He references Nvidia's early involvement in autonomous vehicles, stating, ""frankly they were a little too early,"" but suggests their head start with such technology means ""now they're coming in much more strongly."" Highlighting Nvidia's ""Cosmos"" release, an artificial intelligence (AI) software platform that ""allows you to do gen AI for physical actions."" In other words, users can train robots, autonomous vehicles, and other devices ""to react and do analog things in the physical world."" He emphasizes its significance, adding, ""That's been a huge stopping point for robotics, and that's why it's a big deal and will have a payoff."" Drawing a parallel to other tech giants, O'Donnell tells Yahoo Finance, ""We think about Microsoft (MSFT) on the Windows side, and we think about Google (GOOG) and Apple (AAPL) on the mobile phone side, and maybe Nvidia becomes sort of the platform for robotics."" To watch more expert insights and analysis on the latest market action, check out more Catalysts here. This post was written by Angel Smith",Yahoo,finnhub_news
82,52,2025,1,8,2025-01-08 18:23:00,Tesla CEO Elon Musk has renewed the fight for his $56 billion pay package,Tesla (TSLA) CEO Elon Musk on Wednesday officially filed an appeal with Delaware’s Supreme Court after a state judge rejected his $56 billion compensation package for the second time.,Yahoo,finnhub_news
83,53,2025,1,8,2025-01-08 17:57:35,"Tesla, eBay on Facebook, bitcoin falling: Market Minute","Yahoo Finance host Rachelle Akuffo examines several of the top trending stocks as part of this morning's Market Minute. Tesla (TSLA) could receive $1 billion from rival EV makers that need aid in meeting carbon emission standards in the European Union (EU). Meta Platforms (META) is testing out eBay (EBAY) listings on Facebook in select regions. Bitcoin (BTC-USD) falls below $95,000 on Wednesday with some Wall Street experts anticipating an even bigger drop in the cryptocurrency's price. To watch more expert insights and analysis on the latest market action, check out more Wealth here. This post was written by Luke Carberry Mogan.",Yahoo,finnhub_news
84,54,2025,1,8,2025-01-08 17:45:54,"'Physical AI': An All-Robotics Portfolio Sleeve, Preparing For 'Thor'",Nvidia's CEO highlights robotics advancements at CES. Learn why our rankings of top robotics and AI stocks include both blue chips and small-cap growth stories.,SeekingAlpha,finnhub_news
85,55,2025,1,8,2025-01-08 17:31:18,Elon Musk's Trump Connection: Hyundai CEO Sees Positive Industry Impact,"Hyundai Chief Dismisses Fears Over Musk's Trump Ties, Sees Industry Upside",Yahoo,finnhub_news
86,57,2025,1,8,2025-01-08 16:15:00,Tesla Stock Is Wobbling. What to Know About Its Latest Moves.,The National Highway Traffic Safety Administration has started looking into the EV maker's new feature.,Yahoo,finnhub_news
87,58,2025,1,8,2025-01-08 15:36:02,Tesla Poised for $1 Billion Windfall From EU’s Emissions Curbs,"(Bloomberg) -- Tesla Inc. could collect more than €1 billion ($1 billion) in compensation from rival automakers that need help meeting tougher pollution standards in the European Union this year, UBS Group AG analysts said.Most Read from BloombergNYC’s Subway Violence Deters Drive to Bring Workers Back to OfficeDutch Central Bank Restores Amsterdam’s ‘Ugliest Building’Can American Drivers Learn to Love Roundabouts?NYC Condo Owners May Bear Costs of Landmark Green Building LawCan States Hit the B",Yahoo,finnhub_news
88,59,2025,1,8,2025-01-08 14:56:56,Sell Tesla: It's Time To Let Others Continue Speculating,"Tesla's AI business drives 70% of its valuation, raising concerns. See why TSLA stock is overvalued and carries significant risks for investors.",SeekingAlpha,finnhub_news
89,60,2025,1,8,2025-01-08 14:55:52,Stock Market Today: Dow Jones Slips Ahead Of Fed Minutes; Nvidia Tests Key Level As Tesla Rises (Live Coverage),Stock Market Today: Dow Jones Slips Ahead Of Fed Minutes; Nvidia Tests Key Level As Tesla Rises (Live Coverage),DowJones,finnhub_news
90,61,2025,1,8,2025-01-08 14:31:57,Key investment themes to watch in 2025,"As 2025 gets into full swing, it's important to consider the key themes likely to drive market movements throughout the year.",Yahoo,finnhub_news
